MCC_Cd,Program Type,Category,Extended_Calc_Fl
5511,"Car and Truck Dealers (New and Used)- Sales, Service, Repairs, Parts, and Leasing",Wholesale,No
5521,"Car and Truck Dealers (Used)- Sales, Service, Repairs, Parts, and Leasing",Wholesale,No
5532,Automotive Tire Stores,Wholesale,No
5531,Auto and Home Supply Stores,Wholesale,No
5533,Automotive Parts and Accessories Stores,Wholesale,No
5541,Service Stations (with or without Ancillary Services),Wholesale,No
5542,Automated Fuel Dispensers,Misc.,No
5551,Boat Dealers,Misc.,No
5561,"Camper, Recreational and Utility Trailer Dealers",Misc.,No
5571,Motorcycle Dealers,Misc.,No
5592,Motor Home Dealers,Misc.,No
5598,Snowmobile Dealers,Misc.,No
5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers --Not Elsewhere Classified",Misc.,No
5611,Men's & Boys' Clothing and Accessory Stores ,Misc.,No
5621,Women's Ready-to-Wear Stores,Misc.,No
5631,Women's Accessory and Specialty Stores,Misc.,No
5641,Children's and Infants' Wear Stores,Misc.,No
5651,Family Clothing Stores,Misc.,No
5655,Sports and Riding Apparel Stores,Misc.,No
5661,Shoe Stores,Misc.,No
5681,Furriers & Fur Shops,Misc.,No
5691,Men's and Women's Clothing Stores,Misc.,No
5697,"Tailors, Seamstresses, Mending, Alterations ",Misc.,No
5698,Wig & Toupee Shops,Misc.,No
5699,Miscellaneous Apparel and Accessory Stores,Misc.,No
5712,"Furniture, Home Furnishings, and Equipment Stores, except Appliances",Misc.,No
5713,"Floor coverings, Rugs",Misc.,No
5714,"Drapery, Window Covering, and Upholstery Stores",Misc.,No
5718,"Fireplaces, Fireplace Screens and Accessories Stores ",Misc.,No
5719,Miscellaneous Home Furnishing Specialty Stores,Misc.,No
5722,Household Appliance Stores,Misc.,No
5732,Electronics Stores,Misc.,No
5733,"Music Stores-Musical Instruments, Pianos, and Sheet Music",Misc.,No
5734,Computer Software Stores,Misc.,No
5735,Record Stores,Misc.,No
5811,Caterers - Prepare & Delivery,Misc.,No
5812,Eating Places and Restaurants,Misc.,No
5813,"Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques",Misc.,No
5814,Quick Payment Service-Fast Food Restaurants,Misc.,No
5815,"Digital Goods – Media, Books, Movies, Music  ",Misc.,No
5816,Digital Goods – Games  ,Misc.,No
5817,Digital Goods – Applications (Excludes Games)  ,Misc.,No
5818,Large Digital Goods Merchant  ,Misc.,No
5912,Drug Stores and Pharmacies,Misc.,No
5921,"Package Stores--Beer, Wine, and Liquor",Misc.,No
5931,Used Merchandise and Secondhand Stores,Misc.,No
5932,Antique Shop,Misc.,No
5933,Pawn Shop,Misc.,No
5935,Wrecking and Salvage Yards,Misc.,No
5937,Antique Reproduction Stores,Misc.,No
5940,Bicycle Shop-Sales and Services,Misc.,No
5941,Sporting Goods Stores,Misc.,No
5942,Book Stores,Misc.,No
5943,"Stationery, Office and School Supply Stores",Misc.,No
5944,"Jewelry, Watch, Clock, and Silverware Stores",Misc.,No
5945,"Hobby, Toy and Game Stores",Misc.,No
5946,Camera and Photographic Supply Stores,Misc.,No
5947,"Gift, Card, Novelty, and Souvenir Stores",Misc.,No
5948,Luggage and Leather Goods Stores,Misc.,No
5949,"Sewing, Needlework, Fabric, and Piece Good Stores ",Misc.,No
5950,Glassware and Crystal Stores,Misc.,No
5960,Direct Marketing Insurance Services,Misc.,No
5961,Mail Order,Misc.,No
5962,Direct Marketing -- Travel Related Arrangement Services,Misc.,No
5963,Direct Selling Establishments/Door to Door Sales ,Misc.,No
5964,Catalog Merchant,Misc.,No
5965,Combined Catalog and Retail Merchant,Misc.,No
5966,Outbound Telemarketing Merchant,Misc.,No
5967,Direct Marketing -- Inbound Telemarketing Merchants,Misc.,No
5968,Continuity/Subscription Merchants,Misc.,No
5969,Direct Marketing/Direct Marketers--Not Elsewhere Classified,Misc.,No
5970,Artist Supply and Craft Stores,Misc.,No
5971,Art Dealers and Galleries,Misc.,No
5972,Stamp and Coin Stores,Misc.,No
5973,Religious Goods Stores,Misc.,No
5975,"Hearing Aids--Sales, Service, and Supplies",Misc.,No
5976,Orthopedic Goods and Prosthetic Devices,Misc.,No
5977,Cosmetic Stores,Misc.,No
5978,"Typewriter Stores--Sales, Service, and Rentals",Misc.,No
5983,"Fuel Dealers--Fuel Oil, Wood, Coal, and Liquefied Petroleum",Misc.,No
5992,Florists,Misc.,No
5993,Cigar Stores & Stands,Misc.,No
5994,News Dealers & Newsstands,Misc.,No
5995,"Pet Shops, Pet Food, and Supplies",Misc.,No
5996,"Swimming Pools--Sales, Supplies, and Services",Misc.,No
5997,Electric Razor Stores Sales & Services,Misc.,No
5998,Tent and Awning Stores,Misc.,No
5999,Miscellaneous & Specialty Retail Stores,Misc.,No
6010,Financial Institutions--Manual Cash Disbursements ,Misc.,No
6011,Financial Institutions--Automated Cash Disbursements ,Misc.,No
6012,Quasi Cash - Financial Institution - Merchandise and Services,Misc.,No
6050,Quasi Cash - Member Financial Institution,Misc.,No
6051,MasterCard - Quasi Cash-Merchant,Misc.,No
,"Visa - Non-Financial Institutions - Foreign Currency, Money Orders(not wire Transfer), & Travelers Cheques",Misc.,No
6211,Securities - Brokers and Dealers,Misc.,No
6300,Insurance Sales and Underwriting,Misc.,No
6381,Insurance - Premiums,Misc.,No
6399,Insurance - Not Elsewhere Classified,Misc.,No
6513,Real Estate Agents and Managers - Rentals; Property Management,Misc.,No
6529,Remote Stored Value Load - Member Financial Institution,Misc.,No
6530,Remote Stored Value Load - Merchant,Misc.,No
6531,Payment Service Provider,Misc.,No
6532,Payment Transaction - Member,Misc.,No
6533,Payment Transaction - Merchant,Misc.,No
6534,Money Transfer - Member Financial Institution,Misc.,No
6535,Value Purchase - Member Financial Institution,Misc.,No
6536,MoneySend Intracountry,Misc.,No
6537,MoneySend Intercountry,Misc.,No
6538,MoneySend Funding ,Misc.,No
6540,POI Funding Transactions (Excluding MoneySend),Misc.,No
7011,"Lodging - Hotels, Motels, and Resorts",Hotel,Yes
7012,Timeshares,Misc.,No
7032,Sporting and Recreational Camps ,Misc.,No
7033,Trailer Parks and Campgrounds,Misc.,No
7210,"Laundry, Cleaning, and Garment Services",Misc.,No
7211,Laundry Services - Family and Commercial,Misc.,No
7216,Dry Cleaners,Misc.,No
7217,Carpet and Upholstery Cleaning,Misc.,No
7221,Photographic Studios,Hotel,Yes
7230,Beauty and Barber Shops,Misc.,No
7251,"Shoe Repair Shops, Shoe Shine Parlors, and Hat Cleaning Shops",Misc.,No
7261,Funeral Services and Crematories,Misc.,No
7273,Dating Services,Misc.,No
7276,Tax Preparation Services,Misc.,No
7277,"Counseling Services - Debt, Marriage, and Personal",Misc.,No
7278,Buying and Shopping Services and Clubs,Misc.,No
7296,"Clothing Rental - Costumes, Uniforms and Formal Wear ",Misc.,No
7297,Massage Parlors,Misc.,No
7298,Health and Beauty Spas,Misc.,No
7299,Miscellaneous Personal Services - Not Elsewhere Classified,Misc.,No
7311,Advertising Services,Misc.,No
7321,Consumer Credit Reporting Agencies,Misc.,No
7332,Blueprinting and Photocopying Services,Hotel,Yes
7333,"Commercial Photography, Art, and Graphics",Hotel,Yes
7338,"Quick Copy, Reproduction Service",Misc.,No
7339,Stenographic Service,Misc.,No
7342,Exterminating and Disinfecting Services,Misc.,No
7349,"Cleaning, Maintenance & Janitorial Services",Misc.,No
7361,Employment Agencies and Temporary Help Services,Misc.,No
7372,"Computer Programming, Data Processing, and Integrated Systems Design Services",Misc.,No
7375,Information Retrieval Services (Business to Business MCC) ,Misc.,No
7379,"Computer Maintenance, Repair and Services (Business to Business MCC)",Misc.,No
7392,"Management, Consulting, and Public Relations Services",Misc.,No
7393,"Detective Agencies, Protective Agencies, and Security Services, including Armored Cars and Guard Dogs",Misc.,No
7394,"Equipment, Tool, Furniture, and Appliance Rental and Leasing ",Misc.,No
7395,Photofinishing Laboratories and Photo Developing,Hotel,Yes
7399,Business Services,Misc.,No
7511,Truck Stops,Misc.,No
7512,Automobile Rental Agency,Misc.,No
7513,Truck and Utility Trailer Rentals,Misc.,No
7519,Motor Home and Recreational Vehicle Rentals,Misc.,No
7523,Parking Lots and Garages,Misc.,No
7524,Express Payment Service Mechants - Parking Lots and Garages,Misc.,No
7531,Automotive Top & Body Shops,Misc.,No
7534,Tire Retreading & Repair,Misc.,No
7535,Automotive Paint Shops,Misc.,No
7538,Automotive Service Shops (Non-Dealer),Misc.,No
7542,Car Washes,Misc.,No
7549,Towing Services,Misc.,No
7622,Electronic Repair Shops,Misc.,No
7623,Air Conditioning and Refrigeration Repair Shops ,Misc.,No
7629,Electrical and Small Appliance Repair Shops ,Misc.,No
7631,"Watch, Clock, and Jewelry Repair Shops",Misc.,No
7641,"Furniture - Reupholster, Repair, and Refinishing",Misc.,No
7692,Welding Services,Misc.,No
7699,Miscellaneous Repair Shops and Related Services,Misc.,No
7778,Citishare Cash Advance,Misc.,No
7800,Government-Owned Lotteries  ,Misc.,No
7801,Government-Licensed Casinos (Online Gambling)  ,Misc.,No
7802,Government-Licensed Horse/Dog Racing  ,Misc.,No
7829,Motion Picture & Video Tape Production and Distribution (Business to Business MCC),Misc.,No
7832,Motion Picture Theater,Misc.,No
7841,DVD/Video Tape Rental Stores,Misc.,No
7911,"Dance Halls, Studios & Schools",Misc.,No
7922,Theatrical Producers (except Motion Pictures) and Ticket Agencies,Misc.,No
7929,"Bands, Orchestras & Misc Entertainment",Misc.,No
7932,Billiards & Pool Establishments,Misc.,No
7933,Bowling Alleys,Misc.,No
7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters",Misc.,No
7991,Tourist Attractions and Exhibits,Misc.,No
7992,Public Golf Courses,Misc.,No
7993,Video Amusement Game Supply,Misc.,No
7994,Video Game Arcades and Establishments,Misc.,No
7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off- Track Betting, and Wagers at Race Track",Misc.,No
7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers ",Misc.,No
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",Misc.,No
7998,"Aquarium, Seaquarium, Dolphinariums",Misc.,No
7999,Recreation Services - Not Elsewhere Classified,Misc.,No
8011,Doctors and Physicians - Not Elsewhere Classified ,Service,No
8021,Dentists and Orthodontists,Service,No
8031,Osteopathic Physicians,Service,No
8041,Chiropractors,Service,No
8042,Optometrists and Ophthalmologists,Service,No
8043,"Opticians, Optical Goods and Eyeglasses",Service,No
8049,Podiatrists and Chiropodists,Service,No
8050,Nursing and Personal Care Facilities,Service,No
8062,Hospitals,Service,No
8071,Medical and Dental Laboratories,Service,No
8099,Medical Services Health Practitioners - No Elsewhere Classified,Service,No
8111,Legal Services and Attorneys,Service,No
8211,Elementary and Secondary Schools,Service,No
8220,"Colleges, Universities, Professional Schools, and Junior Colleges",Service,No
8241,Correspondence Schools,Service,No
8244,Business and Secretarial Schools,Service,No
8249,Trade and Vocational Schools,Service,No
8299,Schools and Educational Services - Not Elsewhere Classified,Service,No
8351,Child Care Services,Service,No
8398,Charitable and Social Service Organizations,Service,No
8641,"Civic, Social, and Fraternal Associations",Service,No
8651,Political Organizations,Service,No
8661,Religious Organizations,Service,No
8675,Automobile Associations,Service,No
8699,Membership Organizations - Not Elsewhere Classified,Service,No
8734,Testing Laboratories (Not Medical) - (Business to Business MCC),Misc,No
8911,"Architectural, Engineering, and Surveying Services",Misc.,No
8931,"Accounting, Auditing, and Bookkeeping Services ",Misc.,No
8999,Professional Services - Not Elsewhere Classified,Misc.,No
9211,"Court Costs, including Alimony and Child Support",Misc.,No
9222,Fines,Misc.,No
9223,Bail & Bond Payments,Misc.,No
9311,Tax Payments,Misc.,No
9399,Government Services - Not Elsewhere Classified ,Misc.,No
9401,i-Purchasing,Misc.,No
9402,Postal Services,Misc.,No
9405,U.S. Fed Government Agencies,Misc.,No
9700,Automated Referral Service,Misc.,No
9701,Visa Credential Server,Misc.,No
9702,GCAS Emergency Services,Misc.,No
9751,"U.K. Supermarkets, Electronic Hot File",Misc.,No
9752,"U.K. Petrol Stations, Electronic Hot File",Misc.,No
9753,Consumer Electronics/Furniture Store,Misc.,No
9754,"Quasi Cash - Gambling-Horse Racing, Dog Racing, State Lotteries",Misc.,No
9950,Intra-Company Purchases,Misc.,No
